               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11863,            0.030267,            0.066776,           0.0007367,             0.16667,          0.00089589,          0.00034362,             0.11638,             0.02129,            0.067923,              0.0946,              0.0006,              0.0006
                   1,              0.1106,            0.032946,            0.066957,           0.0011543,             0.30926,            0.003853,          0.00096925,             0.10301,            0.019361,            0.065424,            0.088296,           0.0012957,           0.0012957
                   2,             0.10024,            0.031723,            0.066213,           0.0017304,              0.3519,            0.002702,           0.0008076,            0.091655,            0.019279,            0.064613,            0.081987,           0.0019868,           0.0019868
                   3,            0.095638,            0.029693,            0.063247,           0.0022079,             0.40767,           0.0044574,            0.001637,            0.085626,            0.018353,            0.063048,            0.075673,           0.0026733,           0.0026733
                   4,            0.089308,            0.031009,            0.060845,            0.003366,             0.58105,            0.035404,            0.021542,            0.078556,            0.017328,            0.057733,            0.069355,           0.0033551,           0.0033551
                   5,             0.08036,            0.035243,            0.059066,           0.0033932,              0.5879,             0.02713,           0.0069567,            0.077079,            0.015942,            0.058488,            0.063032,           0.0040324,           0.0040324
                   6,            0.073934,            0.030076,            0.057332,           0.0033818,             0.73509,             0.06372,            0.017654,            0.067435,            0.014933,            0.054973,            0.056705,            0.004705,            0.004705
                   7,            0.067243,             0.03167,            0.056814,           0.0034037,             0.67869,            0.018362,           0.0056784,            0.072769,            0.013783,            0.054973,            0.050373,           0.0053729,           0.0053729
                   8,            0.064434,            0.028433,            0.054622,           0.0024003,              0.5494,             0.01057,           0.0041808,            0.080061,            0.012425,            0.052419,            0.044036,           0.0060363,           0.0060363
                   9,            0.065674,            0.031936,            0.052523,           0.0029867,             0.61917,            0.017849,            0.005521,            0.079121,            0.012081,            0.051073,            0.037695,           0.0066951,           0.0066951
                  10,            0.062959,             0.03177,            0.052206,           0.0056246,             0.30642,             0.01393,           0.0034212,            0.075922,             0.01222,            0.049953,            0.031349,           0.0073492,           0.0073492
